Idx,Raw,Python,Rust_5_2,smoothed,smoothed,smoothed,smoothed,smoothed
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,-5.819625638,0,-5.819625638116875,-5.819625638116875,-5.819625638116875,-5.819625638116875,-5.819625638116875
72,0,-1.531480431,0,-1.531480431083394,-1.531480431083394,-1.531480431083394,-1.531480431083394,-1.531480431083394
73,0,1.492211702,0,1.4922117020812375,1.4922117020812375,1.4922117020812375,1.4922117020812375,1.4922117020812375
74,0,3.416379423,0,3.4163794231860067,3.4163794231860067,3.4163794231860067,3.4163794231860067,3.4163794231860067
75,0,4.397036331,0,4.3970363312394,4.3970363312394,4.3970363312394,4.3970363312394,4.3970363312394
76,0,4.581280962,0,4.5812809624494335,4.5812809624494335,4.5812809624494335,4.5812809624494335,4.5812809624494335
77,0,4.10729679,0,4.1072967902236295,4.1072967902236295,4.1072967902236295,4.1072967902236295,4.1072967902236295
78,0,3.104352225,0,3.104352225169024,3.104352225169024,3.104352225169024,3.104352225169024,3.104352225169024
79,0,1.692800615,0,1.692800615092171,1.692800615092171,1.692800615092171,1.692800615092171,1.692800615092171
80,0,-0.015919755,0,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277
81,0,-1.919285663,0,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917
82,0,-3.923688949,0,-3.923688949213623,-3.923688949213623,-3.923688949213623,-3.923688949213623,-3.923688949213623
83,0,-5.944436517,0,-5.944436517323646,-5.944436517323646,-5.944436517323646,-5.944436517323646,-5.944436517323646
84,0,-7.905750333,0,-7.90575033343043,-7.90575033343043,-7.90575033343043,-7.90575033343043,-7.90575033343043
85,0,-9.740767427,0,-9.740767426530342,-9.740767426530342,-9.740767426530342,-9.740767426530342,-9.740767426530342
86,0,-11.39153989,0,-11.391539888420219,-11.391539888420219,-11.391539888420219,-11.391539888420219,-11.391539888420219
87,0,-12.80903487,0,-12.809034873697396,-12.809034873697396,-12.809034873697396,-12.809034873697396,-12.809034873697396
88,0,-13.9531346,0,-13.953134599759688,-13.953134599759688,-13.953134599759688,-13.953134599759688,-13.953134599759688
89,0,-14.79263635,15.42857143,-14.792636346805395,-14.792636346805395,-14.792636346805395,-14.792636346805395,-14.792636346805395
90,0,-15.30525246,-61.71428571,-15.305252457833305,-15.305252457833305,-15.305252457833305,-15.305252457833305,-15.305252457833305
91,-180,-15.47761034,-87.42857143,-15.47761033864269,-15.47761033864269,-15.47761033864269,-15.47761033864269,-15.47761033864269
92,0,-15.30525246,-61.71428571,-15.305252457833305,-15.305252457833305,-15.305252457833305,-15.305252457833305,-15.305252457833305
93,0,-14.79263635,15.42857143,-14.792636346805395,-14.792636346805395,-14.792636346805395,-14.792636346805395,-14.792636346805395
94,0,-13.9531346,0,-13.953134599759688,-13.953134599759688,-13.953134599759688,-13.953134599759688,-13.953134599759688
95,0,-12.80903487,0,-12.809034873697396,-12.809034873697396,-12.809034873697396,-12.809034873697396,-12.809034873697396
96,0,-11.39153989,0,-11.391539888420219,-11.391539888420219,-11.391539888420219,-11.391539888420219,-11.391539888420219
97,0,-9.740767427,0,-9.740767426530342,-9.740767426530342,-9.740767426530342,-9.740767426530342,-9.740767426530342
98,0,-7.905750333,0,-7.90575033343043,-7.90575033343043,-7.90575033343043,-7.90575033343043,-7.90575033343043
99,0,-5.944436517,0,-5.944436517323646,-5.944436517323646,-5.944436517323646,-5.944436517323646,-5.944436517323646
100,0,-3.923688949,0,-3.923688949213623,-3.923688949213623,-3.923688949213623,-3.923688949213623,-3.923688949213623
101,0,-1.919285663,0,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917,-1.9192856629044917
102,0,-0.015919755,0,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277,-0.015919755000861277
103,0,1.692800615,0,1.692800615092171,1.692800615092171,1.692800615092171,1.692800615092171,1.692800615092171
104,0,3.104352225,0,3.104352225169024,3.104352225169024,3.104352225169024,3.104352225169024,3.104352225169024
105,0,4.10729679,0,4.1072967902236295,4.1072967902236295,4.1072967902236295,4.1072967902236295,4.1072967902236295
106,0,4.581280962,0,4.5812809624494335,4.5812809624494335,4.5812809624494335,4.5812809624494335,4.5812809624494335
107,0,4.397036331,0,4.3970363312394,4.3970363312394,4.3970363312394,4.3970363312394,4.3970363312394
108,0,3.416379423,0,3.4163794231860067,3.4163794231860067,3.4163794231860067,3.4163794231860067,3.4163794231860067
109,0,1.492211702,0,1.4922117020812375,1.4922117020812375,1.4922117020812375,1.4922117020812375,1.4922117020812375
110,0,-1.531480431,0,-1.531480431083394,-1.531480431083394,-1.531480431083394,-1.531480431083394,-1.531480431083394
111,0,-5.819625638,0,-5.819625638116875,-5.819625638116875,-5.819625638116875,-5.819625638116875,-5.819625638116875
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,-0.858881405,0,-0.858881405138972,-0.858881405138972,-0.858881405138972,-0.858881405138972,-0.858881405138972
147,0,0.267195688,0,0.26719568814520755,0.26719568814520755,0.26719568814520755,0.26719568814520755,0.26719568814520755
148,0,0.452827872,0,0.4528278716183089,0.4528278716183089,0.4528278716183089,0.4528278716183089,0.4528278716183089
149,0,0.071621814,0,0.0716218137540901,0.0716218137540901,0.0716218137540901,0.0716218137540901,0.0716218137540901
150,0,0.535449439,0,0.5354494390683254,0.5354494390683254,0.5354494390683254,0.5354494390683254,0.5354494390683254
151,0,0.114790181,0,0.11479018092572157,0.11479018092572157,0.11479018092572157,0.11479018092572157,0.11479018092572157
152,0,0.415447048,0,0.4154470484935612,0.4154470484935612,0.4154470484935612,0.4154470484935612,0.4154470484935612
153,0,0.24555583,0,0.24555582996991793,0.24555582996991793,0.24555582996991793,0.24555582996991793,0.24555582996991793
154,0,0.029091475,0,0.029091475426467776,0.029091475426467776,0.029091475426467776,0.029091475426467776,0.029091475426467776
155,0,-0.08089576,0,-0.08089576017889288,-0.08089576017889288,-0.08089576017889288,-0.08089576017889288,-0.08089576017889288
156,0,-0.231540858,0,-0.23154085800962498,-0.23154085800962498,-0.23154085800962498,-0.23154085800962498,-0.23154085800962498
157,0,-0.428985885,0,-0.4289858851104343,-0.4289858851104343,-0.4289858851104343,-0.4289858851104343,-0.4289858851104343
158,0,-0.726322419,0,-0.7263224193836572,-0.7263224193836572,-0.7263224193836572,-0.7263224193836572,-0.7263224193836572
159,0,-0.757130977,0,-0.7571309773292584,-0.7571309773292584,-0.7571309773292584,-0.7571309773292584,-0.7571309773292584
160,0,-0.766339475,0,-0.766339475167622,-0.766339475167622,-0.766339475167622,-0.766339475167622,-0.766339475167622
161,0,-0.881739569,0,-0.8817395694499096,-0.8817395694499096,-0.8817395694499096,-0.8817395694499096,-0.8817395694499096
162,0,-1.127083115,0,-1.1270831155380026,-1.1270831155380026,-1.1270831155380026,-1.1270831155380026,-1.1270831155380026
163,0,-0.979487965,0,-0.9794879649245495,-0.9794879649245495,-0.9794879649245495,-0.9794879649245495,-0.9794879649245495
164,0,-1.184284298,2.277004387,-1.1842842984129867,-1.1842842984129867,-1.1842842984129867,-1.1842842984129867,-1.1842842984129867
165,0,-1.077543413,-10.41559915,-1.0775434133404975,-1.0775434133404975,-1.0775434133404975,-1.0775434133404975,-1.0775434133404975
166,-26.56505118,-1.073059982,-7.945255312,-1.0730599826058353,-1.0730599826058353,-1.0730599826058353,-1.0730599826058353,-1.0730599826058353
167,15.2551187,-0.99044943,0.275111563,-0.9904494300036055,-0.9904494300036055,-0.9904494300036055,-0.9904494300036055,-0.9904494300036055
168,3.17983012,-1.051899291,4.749647214,-1.051899291236615,-1.051899291236615,-1.051899291236615,-1.051899291236615,-1.051899291236615
169,-10.30484647,-0.943339542,-1.37715387,-0.9433395423790119,-0.9433395423790119,-0.9433395423790119,-0.9433395423790119,-0.9433395423790119
170,8.972626618,-0.823401292,-3.134558969,-0.8234012925946491,-0.8234012925946491,-0.8234012925946491,-0.8234012925946491,-0.8234012925946491
171,-8.972626615,-0.69540791,2.044331501,-0.6954079105875929,-0.6954079105875929,-0.6954079105875929,-0.6954079105875929,-0.6954079105875929
172,7.125016347,-0.413505264,-0.28021416,-0.4135052637594222,-0.4135052637594222,-0.4135052637594222,-0.4135052637594222,-0.4135052637594222
173,1.57E-09,-0.155516725,2.689569928,-0.15551672545517067,-0.15551672545517067,-0.15551672545517067,-0.15551672545517067,-0.15551672545517067
174,-1.218875236,-0.037854139,-0.870990949,-0.03785413863249423,-0.03785413863249423,-0.03785413863249423,-0.03785413863249423,-0.03785413863249423
175,1.218875237,0.171500368,0.518725949,0.1715003677182083,0.1715003677182083,0.1715003677182083,0.1715003677182083,0.1715003677182083
176,1.005086004,0.206926097,1.33039376,0.206926096734183,0.206926096734183,0.206926096734183,0.206926096734183,0.206926096734183
177,0,0.268408796,-1.128492505,0.2684087963830492,0.2684087963830492,0.2684087963830492,0.2684087963830492,0.2684087963830492
178,-3.731396999,0.342511111,-1.755968749,0.3425111109840628,0.3425111109840628,0.3425111109840628,0.3425111109840628,0.3425111109840628
179,1.041626677,0.319947379,0.024038769,0.3199473789003786,0.3199473789003786,0.3199473789003786,0.3199473789003786,0.3199473789003786
180,2.503139779,0.288969593,2.460571691,0.2889695931927966,0.2889695931927966,0.2889695931927966,0.2889695931927966,0.2889695931927966
181,0.709069981,0.359124048,-0.563245808,0.3591240477051818,0.3591240477051818,0.3591240477051818,0.3591240477051818,0.3591240477051818
182,-3.788027354,0.242286463,0.005315126,0.24228646306824358,0.24228646306824358,0.24228646306824358,0.24228646306824358,0.24228646306824358
183,4.40808734,0.128839761,-0.620121666,0.1288397612009357,0.1288397612009357,0.1288397612009357,0.1288397612009357,0.1288397612009357
184,-3.56200864,-0.090669569,0.827525376,-0.09066956862125017,-0.09066956862125017,-0.09066956862125017,-0.09066956862125017,-0.09066956862125017
185,2.104700409,-0.514235594,-0.701725241,-0.5142355937296395,-0.5142355937296395,-0.5142355937296395,-0.5142355937296395,-0.5142355937296395
186,0,-0.840253758,1.767756737,-0.8402537585781309,-0.8402537585781309,-0.8402537585781309,-0.8402537585781309,-0.8402537585781309
187,1.45730823,0.23794445,-0.373160468,0.2379444498053605,0.2379444498053605,0.2379444498053605,0.2379444498053605,0.2379444498053605
188,-2.813785398,-0.25418251,-1.011133387,-0.2541825101606663,-0.2541825101606663,-0.2541825101606663,-0.2541825101606663,-0.2541825101606663
189,-0.748223241,-0.622031006,-1.718311703,-0.622031005783035,-0.622031005783035,-0.622031005783035,-0.622031005783035,-0.622031005783035
190,-1.311887782,-0.007757668,-1.498523877,-0.007757667514116079,-0.007757667514116079,-0.007757667514116079,-0.007757667514116079,-0.007757667514116079
191,-2.152962789,-0.337749798,-1.189316189,-0.33774979756193,-0.33774979756193,-0.33774979756193,-0.33774979756193,-0.33774979756193
192,1.257789079,0.391209025,0.741921776,0.3912090245929025,0.3912090245929025,0.3912090245929025,0.3912090245929025,0.3912090245929025
193,2.207061494,-0.035541596,1.435615907,-0.035541595459786995,-0.035541595459786995,-0.035541595459786995,-0.035541595459786995,-0.035541595459786995
194,-9.19E-10,0.196115207,1.657564415,0.19611520759195905,0.19611520759195905,0.19611520759195905,0.19611520759195905,0.19611520759195905
195,2.941948654,0.44930996,1.18662179,0.4493099598282705,0.4493099598282705,0.4493099598282705,0.4493099598282705,0.4493099598282705
196,0,0.778029356,1.086885504,0.7780293556575956,0.7780293556575956,0.7780293556575956,0.7780293556575956,0.7780293556575956
197,0.620059986,1.175969295,0.586503369,1.1759692953332634,1.1759692953332634,1.1759692953332634,1.1759692953332634,1.1759692953332634
198,1.567703677,1.520767931,0.974048067,1.520767931115805,1.520767931115805,1.520767931115805,1.520767931115805,1.520767931115805
199,0,2.030363967,0.160301673,2.0303639672863953,2.0303639672863953,2.0303639672863953,2.0303639672863953,2.0303639672863953
200,1.73E-10,2.322419364,1.004179683,2.3224193641708633,2.3224193641708633,2.3224193641708633,2.3224193641708633,2.3224193641708633
201,3.780568534,2.386476634,2.128278597,2.3864766336558603,2.3864766336558603,2.3864766336558603,2.3864766336558603,2.3864766336558603
202,1.839140822,2.474460808,3.169567413,2.4744608078912114,2.4744608078912114,2.4744608078912114,2.4744608078912114,2.4744608078912114
203,3.949868023,2.86886312,3.568260047,2.8688631198783523,2.8688631198783523,2.8688631198783523,2.8688631198783523,2.8688631198783523
204,4.365257735,3.003216742,3.381606983,3.003216741404771,3.003216741404771,3.003216741404771,3.003216741404771,3.003216741404771
205,1.789910609,3.384753961,4.003125147,3.3847539608476844,3.3847539608476844,3.3847539608476844,3.3847539608476844,3.3847539608476844
206,6.404352726,3.509125408,3.757857976,3.509125408284572,3.509125408284572,3.509125408284572,3.509125408284572,3.509125408284572
207,2.568273888,3.692324398,5.084568574,3.692324397722135,3.692324397722135,3.692324397722135,3.692324397722135,3.692324397722135
208,5.517135979,3.505814425,2.907826032,3.5058144246525202,3.5058144246525202,3.5058144246525202,3.5058144246525202,3.5058144246525202
209,1.129629545,3.548003192,3.871853931,3.5480031921017074,3.5480031921017074,3.5480031921017074,3.5480031921017074,3.5480031921017074
210,5.72639451,3.498501685,3.181447919,3.498501684575475,3.498501684575475,3.498501684575475,3.498501684575475,3.498501684575475
211,3.635452957,3.595049316,6.932275644,3.5950493163570014,3.5950493163570014,3.5950493163570014,3.5950493163570014,3.5950493163570014
212,8.875870535,3.691664238,3.782650693,3.691664238109247,3.691664238109247,3.691664238109247,3.691664238109247,3.691664238109247
213,-2.996218453,3.718758625,2.290624241,3.7187586248931646,3.7187586248931646,3.7187586248931646,3.7187586248931646,3.7187586248931646
214,2.996218453,3.814808951,-0.526547076,3.8148089510416927,3.8148089510416927,3.8148089510416927,3.8148089510416927,3.8148089510416927
215,0.150382278,3.832716931,1.849053109,3.8327169307320283,3.8327169307320283,3.8327169307320283,3.8327169307320283,3.8327169307320283
216,2.862405226,3.864933844,2.663026299,3.8649338441586973,3.8649338441586973,3.8649338441586973,3.8649338441586973,3.8649338441586973
217,5.710593137,3.748965181,5.200055314,3.748965181190711,3.748965181190711,3.748965181190711,3.748965181190711,3.748965181190711
218,5.599339337,3.852485208,5.842683316,3.8524852077174545,3.8524852077174545,3.8524852077174545,3.8524852077174545,3.8524852077174545
219,5.38931176,3.614334361,5.589301945,3.6143343609554712,3.6143343609554712,3.6143343609554712,3.6143343609554712,3.6143343609554712
220,5.102165253,3.502712705,4.5820363,3.5027127049937947,3.5027127049937947,3.5027127049937947,3.5027127049937947,3.5027127049937947
221,2.426335831,3.55485957,2.744865676,3.55485956995837,3.55485956995837,3.55485956995837,3.55485956995837,3.55485956995837
222,1.118430624,3.371011195,0.978664045,3.3710111948336743,3.3710111948336743,3.3710111948336743,3.3710111948336743,3.3710111948336743
223,1.218875236,3.234151758,1.982792533,3.2341517581641526,3.2341517581641526,3.2341517581641526,3.2341517581641526,3.2341517581641526
224,4.398705354,3.037603086,3.263139134,3.0376030856388603,3.0376030856388603,3.0376030856388603,3.0376030856388603,3.0376030856388603
225,3.416588192,2.742743482,3.986937855,2.7427434816579828,2.7427434816579828,2.7427434816579828,2.7427434816579828,2.7427434816579828
226,4.27946353,2.642114282,4.914047146,2.6421142816355006,2.6421142816355006,2.6421142816355006,2.6421142816355006,2.6421142816355006
227,6.340191747,2.22498128,4.644855217,2.22498127995572,2.22498127995572,2.22498127995572,2.22498127995572,2.22498127995572
228,1.548157698,2.073975453,3.118361723,2.073975452891065,2.073975452891065,2.073975452891065,2.073975452891065,2.073975452891065
229,1.631672421,1.742418748,0.655109954,1.7424187479244613,1.7424187479244613,1.7424187479244613,1.7424187479244613,1.7424187479244613
230,5.54E-10,1.610906039,1.050574159,1.6109060392243437,1.6109060392243437,1.6109060392243437,1.6109060392243437,1.6109060392243437
231,1.455633306,1.228151662,0.207947615,1.2281516617974844,1.2281516617974844,1.2281516617974844,1.2281516617974844,1.2281516617974844
232,-1.455633307,1.071420434,-0.907235796,1.0714204342972882,1.0714204342972882,1.0714204342972882,1.0714204342972882,1.0714204342972882
233,-1.63167242,0.455855679,-0.71708127,0.45585567934300425,0.45585567934300425,0.45585567934300425,0.45585567934300425,0.45585567934300425
234,1.63167242,0.515745332,-0.466192121,0.5157453317551115,0.5157453317551115,0.5157453317551115,0.5157453317551115,0.5157453317551115
235,-1.631672421,0.387587472,1.104352905,0.3875874719568254,0.3875874719568254,0.3875874719568254,0.3875874719568254,0.3875874719568254
236,3.087305729,0.605394277,-0.157508362,0.6053942766878798,0.6053942766878798,0.6053942766878798,0.6053942766878798,0.6053942766878798
237,-1.622675924,0.756430847,2.049349785,0.7564308465629165,0.7564308465629165,0.7564308465629165,0.7564308465629165,0.7564308465629165
238,4.683264218,0.885047658,1.319941634,0.8850476579659947,0.8850476579659947,0.8850476579659947,0.8850476579659947,0.8850476579659947
239,-0.390292188,1.037604862,1.309227921,1.03760486229265,1.03760486229265,1.03760486229265,1.03760486229265,1.03760486229265
240,-6.95E-10,1.180190504,0.25965653,1.1801905038495153,1.1801905038495153,1.1801905038495153,1.1801905038495153,1.1801905038495153
241,2.86975131,1.312475573,2.04151835,1.3124755730925737,1.3124755730925737,1.3124755730925737,1.3124755730925737,1.3124755730925737
242,2.205246086,1.652050299,2.394372439,1.6520502991645896,1.6520502991645896,1.6520502991645896,1.6520502991645896,1.6520502991645896
243,1.655486538,1.917641341,2.078453305,1.9176413408985358,1.9176413408985358,1.9176413408985358,1.9176413408985358,1.9176413408985358
244,2.663000766,2.321501093,1.978576752,2.3215010925996595,2.3215010925996595,2.3215010925996595,2.3215010925996595,2.3215010925996595
245,1.735704589,2.563074346,2.648643213,2.5630743457168443,2.5630743457168443,2.5630743457168443,2.5630743457168443,2.5630743457168443
246,3.366460663,2.814754534,2.144780506,2.8147545341562137,2.8147545341562137,2.8147545341562137,2.8147545341562137,2.8147545341562137
247,1.397181027,3.078848357,2.699648199,3.0788483569197584,3.0788483569197584,3.0788483569197584,3.0788483569197584,3.0788483569197584
248,3.922712891,3.106389199,3.093375886,3.106389198648193,3.106389198648193,3.106389198648193,3.106389198648193,3.106389198648193
249,3.842453127,3.065005218,4.20464565,3.065005217632927,3.065005217632927,3.065005217632927,3.065005217632927,3.065005217632927
250,3.731397,3.073782648,3.029837017,3.0737826475004364,3.0737826475004364,3.0737826475004364,3.0737826475004364,3.0737826475004364
251,1.938960344,3.01479738,3.457576718,3.0147973801987153,3.0147973801987153,3.0147973801987153,3.0147973801987153,3.0147973801987153
252,4.999425461,2.811184227,3.085791634,2.811184227276209,2.811184227276209,2.811184227276209,2.811184227276209,2.811184227276209
253,1.729883622,2.834809463,3.370296069,2.834809463151549,2.834809463151549,2.834809463151549,2.834809463151549,2.834809463151549
254,3.273154083,2.841979948,2.019795155,2.841979948415523,2.841979948415523,2.841979948415523,2.841979948415523,2.841979948415523
255,1.633910882,2.690487804,2.82503066,2.6904878035767825,2.6904878035767825,2.6904878035767825,2.6904878035767825,2.6904878035767825
256,3.439348885,2.616629424,2.276170102,2.6166294236602856,2.6166294236602856,2.6166294236602856,2.6166294236602856,2.6166294236602856
257,1.420265546,2.344480576,2.204143991,2.344480575946123,2.344480575946123,2.344480575946123,2.344480575946123,2.344480575946123
258,1.877877448,2.424074633,1.637551456,2.4240746332512915,2.4240746332512915,2.4240746332512915,2.4240746332512915,2.4240746332512915
259,1.968152642,1.973568347,1.904523004,1.9735683469716865,1.9735683469716865,1.9735683469716865,1.9735683469716865,1.9735683469716865
260,1.650862416,1.855640868,1.506906796,1.8556408681053922,1.8556408681053922,1.8556408681053922,1.8556408681053922,1.8556408681053922
261,1.628123843,1.891509945,2.604671021,1.8915099450902253,1.8915099450902253,1.8915099450902253,1.8915099450902253,1.8915099450902253
262,4.281536235,1.685635513,2.559185102,1.6856355131882024,1.6856355131882024,1.6856355131882024,1.6856355131882024,1.6856355131882024
263,0.59964849,1.639451119,2.132436731,1.6394511194186343,1.6394511194186343,1.6394511194186343,1.6394511194186343,1.6394511194186343
264,1.665106058,1.437922076,0.879836431,1.4379220764797416,1.4379220764797416,1.4379220764797416,1.4379220764797416,1.4379220764797416
265,0.678024911,1.374471634,0.640935643,1.3744716342335868,1.3744716342335868,1.3744716342335868,1.3744716342335868,1.3744716342335868
266,7.19E-10,1.542913196,0.630200937,1.5429131963052038,1.5429131963052038,1.5429131963052038,1.5429131963052038,1.5429131963052038
267,2.42533441,1.479193552,2.284241536,1.4791935524550632,1.4791935524550632,1.4791935524550632,1.4791935524550632,1.4791935524550632
268,3.395986959,1.622845781,2.252765398,1.6228457806878422,1.6228457806878422,1.6228457806878422,1.6228457806878422,1.6228457806878422
269,9.80E-11,1.851982381,1.780199127,1.8519823813507996,1.8519823813507996,1.8519823813507996,1.8519823813507996,1.8519823813507996
270,2.663000766,1.716259244,1.359502065,1.7162592443009448,1.7162592443009448,1.7162592443009448,1.7162592443009448,1.7162592443009448
271,1.041626676,1.785536596,1.177324138,1.785536596069916,1.785536596069916,1.785536596069916,1.785536596069916,1.785536596069916
272,-1.14E-10,1.841426245,0.882897481,1.8414262454664212,1.8414262454664212,1.8414262454664212,1.8414262454664212,1.8414262454664212
273,2.819105949,1.763969614,1.867761876,1.7639696138897185,1.7639696138897185,1.7639696138897185,1.7639696138897185,1.7639696138897185
274,2.47945912,1.927910887,3.095435316,1.9279108872331665,1.9279108872331665,1.9279108872331665,1.9279108872331665,1.9279108872331665
275,3.060588296,1.874832613,2.461829517,1.8748326130890542,1.8748326130890542,1.8748326130890542,1.8748326130890542,1.8748326130890542
276,1.455633307,2.017284382,1.644124921,2.017284381839731,2.017284381839731,2.017284381839731,2.017284381839731,2.017284381839731
277,1.543253078,1.866889341,2.701645417,1.8668893406063731,1.8668893406063731,1.8668893406063731,1.8668893406063731,1.8668893406063731
278,5.003037706,2.057478069,2.703025218,2.0574780691621912,2.0574780691621912,2.0574780691621912,2.0574780691621912,2.0574780691621912
279,0,2.094580897,1.743100312,2.0945808967161206,2.0945808967161206,2.0945808967161206,2.0945808967161206,2.0945808967161206
280,1.53263179,2.111284032,1.652364507,2.1112840322046726,2.1112840322046726,2.1112840322046726,2.1112840322046726,2.1112840322046726
281,4.263254593,2.313361715,2.72626636,2.313361715035923,2.313361715035923,2.313361715035923,2.313361715035923,2.313361715035923
282,1.45730823,2.487723348,3.593201817,2.4877233480663286,2.4877233480663286,2.4877233480663286,2.4877233480663286,2.4877233480663286
283,4.311761902,2.494337819,1.84486519,2.4943378194328627,2.4943378194328627,2.4943378194328627,2.4943378194328627,2.4943378194328627
284,-0.895173711,2.645475563,0.820746541,2.645475563470455,2.645475563470455,2.645475563470455,2.645475563470455,2.645475563470455
285,0.895173711,2.580241256,1.281547815,2.580241255739799,2.580241255739799,2.580241255739799,2.580241255739799,2.580241255739799
286,4.72240688,2.507787574,2.852876646,2.507787574172463,2.507787574172463,2.507787574172463,2.507787574172463,2.507787574172463
287,1.118430625,2.818541255,2.251920399,2.818541254597249,2.818541254597249,2.818541254597249,2.818541254597249,2.818541254597249
288,2.426335831,2.836977248,3.764354602,2.8369772481908955,2.8369772481908955,2.8369772481908955,2.8369772481908955,2.8369772481908955
289,7.765166018,2.998367834,4.311666073,2.9983678336077713,2.9983678336077713,2.9983678336077713,2.9983678336077713,2.9983678336077713
290,0.643745714,3.453933644,4.192198005,3.4539336442496964,3.4539336442496964,3.4539336442496964,3.4539336442496964,3.4539336442496964
291,4.861732144,3.525723749,2.639325797,3.5257237494267093,3.5257237494267093,3.5257237494267093,3.5257237494267093,3.5257237494267093
292,2.820172472,3.649408423,3.467322977,3.6494084235302098,3.6494084235302098,3.6494084235302098,3.6494084235302098,3.6494084235302098
293,2.848187912,4.037454511,3.652263698,4.037454511024559,4.037454511024559,4.037454511024559,4.037454511024559,4.037454511024559
294,5.724810452,4.175911688,4.011992918,4.175911687700895,4.175911687700895,4.175911687700895,4.175911687700895,4.175911687700895
295,2.848187912,4.236952859,4.972235758,4.236952858663328,4.236952858663328,4.236952858663328,4.236952858663328,4.236952858663328
